customer_tweet_id,customer_message,gold_intent,pred_intent,intent_confidence,gold_action,pred_action,escalation_reason,reply,top_evidence,human_groundedness,human_correctness,human_actionability,human_safety,human_no_hallucination
58518,@116216 hola buenas tardes quiero ingresar pero me indica que tengo restablecer la contraseña pero no me llega ningún correo,other,other,0.444,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Hola Lara. Estaremos encantados de ayudarte. ¿Ves algun codigo o mensaje de error?,@484262 Hola Lara. Estaremos encantados de ayudarte. ¿Ves algun codigo o mensaje de error?,,,,,
410724,@AskPlayStation Why have I found 5 add-ons released in the last 30 days that aren't in the New Add-Ons section of the store?,game_purchase_store,codes_dlc_content,0.99,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Hey John. Please try Restore Licenses to refresh your purchases:,@649118 Hey John. Please try Restore Licenses to refresh your purchases: https://t.co/WATnmgS37Z,,,,,
1972748,@AskPlayStation @584300 It happens With all the games updates for me,download_installation,download_installation,0.426,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Hi Marvin! Please provide us more details about the issue. Are you getting any error code or message?,@325590 Hi Marvin! Please provide us more details about the issue. Are you getting any error code or message?,,,,,
1782546,@AskPlayStation I need help the app fortnite won’t download and it stops at 4.599GB,download_installation,download_installation,0.902,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request","That's not good. Please do a power cycle and try again, steps here:","@127853 That's not good. Please do a power cycle and try again, steps here: https://t.co/S5KSYudd6K",,,,,
204711,@AskPlayStation  how can i refund a pre ordered game?,refunds,refunds,0.94,escalate,escalate,refund issue requiring review; refund or payment issue requiring review,Thanks for reaching out. This issue may require account or purchase-specific review. Please provide the requested details through PlayStation Support so the team can assist securely.,@211043 Thank you for contacting us! Please check your Direct Messages.,,,,,
2465477,@116216 HOLA NECESITO AYUDA COMO ME CONTACTO CON USTEDES POR ACAA,other,other,0.561,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request","Hola Mike. Perdon por la demora. ¿Nos puedes brindar mas detalles, por favor?","@225084 Hola Mike. Perdon por la demora. ¿Nos puedes brindar mas detalles, por favor?",,,,,
1472077,"@AskPlayStation I'm having problems opening the PS store/Communities on my PS4, wondering what the problem may be",game_purchase_store,game_purchase_store,0.99,escalate,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Hi there! Please let us know the exact issue that you are experiencing with your PS4.,@534448 Hi there! Please let us know the exact issue that you are experiencing with your PS4.,,,,,
1252732,@AskPlayStation Okay thank you,other,other,0.806,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Anytime!,@241968 Anytime!,,,,,
1642961,@AskPlayStation the conversation. And it's not inappropriate? I'm 53 my youngest son is 12 I really don't want him subjected to this online https://t.co/uiSwfv1w6T,network_psn,network_psn,0.356,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Totally understand. Please check your DM's for further instructions.,@190777 Totally understand. Please check your DM's for further instructions.,,,,,
191999,@AskPlayStation Sorry my pc broken before I buy PS &gt;&lt; . This is when I try to log in with ps internet https://t.co/gi2JjBQeiz,account_access,account_access,0.381,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request","Hi Jerome! Which error are you getting? Please explain to us more about the issue, any information will be appreciated.","@748889 Hi Jerome! Which error are you getting? Please explain to us more about the issue, any information will be appreciated.",,,,,
242656,@AskPlayStation is there anyway to let my kid play FIFA online and to make him an EA account through the ps4?,account_access,account_access,0.378,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Great question! Check out this article for more information on your request:,@292189 Great question! Check out this article for more information on your request: https://t.co/MInrgZSl48,,,,,
707117,"@AskPlayStation Getting error code ce-41839-5 when I try to play Overwatch from a disk.
I just installed the latest game update. Help?",download_installation,network_psn,0.99,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Please try rebuilding the database. Follow the steps on the next article:,@200201 Please try rebuilding the database. Follow the steps on the next article: https://t.co/OOaq76kzAA,,,,,
1597510,"@AskPlayStation I’m getting error code NW-34345-9 on my PS4, all other devices are fine on my WiFi but PS4 won’t connect, can you help?",network_psn,network_psn,0.99,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request","That's not good. Please do a power cycle and try again, steps here:","@531399 That's not good. Please do a power cycle and try again, steps here: https://t.co/S5KSYudd6K",,,,,
310928,"@AskPlayStation Hi playstation support, im having a problem regarding a payment method. I was trying to buy 2 DLC in playstation store using credit/debit card but it's not working and diplays error. i think it has something to do with region. can u please help?",payments_billing,payments_billing,0.99,escalate,escalate,payment issue requiring review,Thanks for reaching out. This issue may require account or purchase-specific review. Please provide the requested details through PlayStation Support so the team can assist securely.,"@767938 Sorry to hear that! Check out the next article for more info on how to use PayPal to make purchases:
https://t.co/uJRQr6DnUb",,,,,
959124,@AskPlayStation Never mind. It was a PS4 and we found the manual eject screw but it wasn’t clear where it was,console_hardware,console_hardware,0.512,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Glad to know the issue is resolved. Please feel free to contact us if you have further concerns.,@161137 Glad to know the issue is resolved. Please feel free to contact us if you have further concerns.,,,,,
649355,@AskPlayStation Been trying to preorder the Digital Guardian Edition for PS4 on the PSN via the PS App and Desktop site. Errors. Advice?,console_hardware,console_hardware,0.319,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Let us know the exact error that appears.,@274350 Let us know the exact error that appears.,,,,,
2810974,@AskPlayStation can a digital PS Plus membership code be redeemed at anytime?,codes_dlc_content,ps_plus_subscription,0.99,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Here to help! Please provide us with more details of this issue in order to assist you better.,@439751 Here to help! Please provide us with more details of this issue in order to assist you better.,,,,,
2243036,@205230 @AskPlayStation my points got erased from test season 1. What happen? Every time I see my points standing the game freezes and shows an error code. What's going on?,codes_dlc_content,codes_dlc_content,0.775,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request","Hello! If you were experiencing difficulties logging into PS Vue, please relaunch the PS Vue app and try logging in again.","@476495 Hello! If you were experiencing difficulties logging into PS Vue, please relaunch the PS Vue app and try logging in again.",,,,,
950524,@AskPlayStation managed to update successfully 100% when tethering thru 4G smartphone. Something wrong either with ISP or router. Thank you for the patient.,download_installation,download_installation,0.612,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Glad you were able to figure it out. You are welcome. Let us know if there's anything we can lend a hand with!,@388917 Glad you were able to figure it out. You are welcome. Let us know if there's anything we can lend a hand with!,,,,,
1549897,"@AskPlayStation It says card info not valid, but it's the same card I've been using. The when I go to chat, it says I don't have an account.",account_access,account_access,0.371,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Here to help. Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions.,@505451 Here to help. Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions.,,,,,
1924916,@AskPlayStation I get error codes from the games I play but not from the PlayStation I can login but can’t play certain games,account_access,account_access,0.269,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Understood! Please follow us via Twitter and let us know so we can send you a DM with further instructions. Thanks!,@806994 Understood! Please follow us via Twitter and let us know so we can send you a DM with further instructions. Thanks!,,,,,
1157153,@AskPlayStation The awnsers don't help me. I somehow want to disable/cancel the playstion plus. Thank you.,other,other,0.3,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request","Hi there. Let's look into that. For refund info, please check the following link:","@362593 Hi there. Let's look into that. For refund info, please check the following link: https://t.co/MInrgZSl48",,,,,
2364000,@AskPlayStation Y como miro la region del disco,console_hardware,console_hardware,0.292,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Hola. Una vez creada la cuenta de PSN la region seleccionada no puede ser modificada.,@766162 Hola. Una vez creada la cuenta de PSN la region seleccionada no puede ser modificada.,,,,,
2967410,@AskPlayStation hey i am having troubles login into my account and would need some help,account_access,account_access,0.896,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request","Hi there. Sorry for the delay. Please make sure you are following us, so we can assist you better via a Direct Message.","@461706 Hi there. Sorry for the delay. Please make sure you are following us, so we can assist you better via a Direct Message.",,,,,
1750059,@AskPlayStation I have read both us and eu forums and there are numerous complaints about this with ppl complaing that sony does care what users want so thought i would pass this on to make sure they were aware of an issue upsetting their fan base,other,other,0.228,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Thanks for that info. Please check your DM's for further instructions.,@383878 Thanks for that info. Please check your DM's for further instructions.,,,,,
2315721,@AskPlayStation I’m trying to play Hidden Agenda but it won’t connect with 2 iPhone 6+ and  1 iPad w/ iOS 11. It only connects with two other android phones.,network_psn,network_psn,0.496,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request","Boa noite Alex! Enviamos futuras instruções via mensagem direta, ficamos no aguardo!","@270545 Boa noite Alex! Enviamos futuras instruções via mensagem direta, ficamos no aguardo!",,,,,
103322,@121984 ei pq minha conta foi banida?,account_security,account_security,0.76,escalate,escalate,account security issue requiring verification,Thanks for reaching out. This issue may require account or purchase-specific review. Please provide the requested details through PlayStation Support so the team can assist securely.,@290755 Boa noite Daniel! No seguinte link vai encontrar informações sobre contas e consoles banidos: https://t.co/qJuGmIHP9H,,,,,
1243565,"@AskPlayStation hi can someone get back to me ASAP, no response for 2 days",other,other,0.308,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Hi Tj. Let's look into that. Please check your DM's for further instructions.,@489129 Hi Tj. Let's look into that. Please check your DM's for further instructions.,,,,,
293970,"@AskPlayStation web site says nothing wrong with PlayStation services, so why can’t I log onto the website via tablet or network via ps3",network_psn,network_psn,0.421,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Please check if you see the same error when trying to complete the purchase using the console.,@154744  Please check if you see the same error when trying to complete the purchase using the console.,,,,,
743657,"@AskPlayStation Dear frieds. I have tried that already. Also, I cannot get a prepaid card where I currently live. I can only use credit card and PayPal.",payments_billing,payments_billing,0.99,escalate,escalate,payment issue requiring review,Thanks for reaching out. This issue may require account or purchase-specific review. Please provide the requested details through PlayStation Support so the team can assist securely.,@193619 Sorry for the inconvenience. Please follow us via Twitter so we can send you a DM with further instructions. Thanks!,,,,,
1822542,"@AskPlayStation This hasn't worked, its still coming up with an error while connecting.",network_psn,other,0.301,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Happy to help! Please check your Direct messages!,@201712 Happy to help! Please check your Direct messages!,,,,,
52057,Hey @AskPlayStation I've been having issues with the PlayStation messaging app,other,other,0.302,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Here to help! Please provide us with details of the issue you are experiencing so we can properly assist you.,@179878 Here to help! Please provide us with details of the issue you are experiencing so we can properly assist you.,,,,,
1312767,@AskPlayStation I can't pre download assassins creed origins. Any reason why?,download_installation,download_installation,0.6,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Sorry for the delay. Please check your DMs for assistance.,@387815 Sorry for the delay. Please check your DMs for assistance.,,,,,
47392,@AskPlayStation please help me i pre ordered NFS PAYBACK STANDARD EDITION AND I NEED NOW UPGRADE TO DELUXE EDITION i need refund 🙏🏻,refunds,refunds,0.743,escalate,escalate,refund issue requiring review; refund or payment issue requiring review,Thanks for reaching out. This issue may require account or purchase-specific review. Please provide the requested details through PlayStation Support so the team can assist securely.,@116009 Glad to help!  Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions.,,,,,
794751,Someone in Brooklyn used my email to open an account. I'm not a PS player. Help! Thnxs @AskPlayStation,account_access,account_access,0.925,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Totally understand. Please follow us for further assistance.,@200782 Totally understand. Please follow us for further assistance.,,,,,
550278,@AskPlayStation why did the feature of deactivating the primary account from the phone is not working anymore? I can't put my account as primary in my new ps4 and I have no access of the other ps4 it was on.,account_access,account_access,0.812,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Sure we can help! You can deactivate your account using a PC following these steps:,@140944 Sure we can help! You can deactivate your account using a PC following these steps: https://t.co/cwlbAhAeJv,,,,,
411228,@AskPlayStation yes multiple TVs and multiple hdmi cords,other,other,0.542,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Please provide us more details about the issue,@153022 Please provide us more details about the issue,,,,,
2099329,@AskPlayStation Already tried that a couple times,other,other,0.671,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request","For further assistance please follow us and send us a Direct Message, we look forward to your reply.","@502184 For further assistance please follow us and send us a Direct Message, we look forward to your reply.",,,,,
418223,@AskPlayStation Much appreciated.,other,other,0.649,auto_handle,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Glad to know is working. Please feel free to contact us if you have further concerns. Happy gaming!,@189433 Glad to know is working. Please feel free to contact us if you have further concerns. Happy gaming!,,,,,
376425,@AskPlayStation you have taken payment for for psn subscription but it still says renew on my console. Can this be looked into. Thanks.,ps_plus_subscription,ps_plus_subscription,0.786,escalate,auto_handle,"safe informational, troubleshooting, follow-up, or clarification request",Thanks for trying that. Let's start your PS4 in safe mode and select Restore Default Settings:,@521752 Thanks for trying that. Let's start your PS4 in safe mode and select Restore Default Settings: https://t.co/OOaq76kzAA,,,,,
