example_id,customer_tweet_id,support_tweet_id,customer_message,support_response,customer_created_at,support_created_at,pairing_method,intent,expected_action,reason_for_escalation,difficulty
11,1230666,1230665,@AskPlayStation I'm still having trouble with shareplay. My friend&amp;i have reset our default settings. He still can't connect to my shareplay,"@396107 Sure we can help! Please do a power cycle and try again, steps here: https://t.co/S5KSYuuNYi",2017-10-25 19:54:07+00:00,2017-10-25 20:52:38+00:00,support_parent,,,,
12,326048,326050,@AskPlayStation I can try that. I just switched browser's and now having zero issues. Thanks for responding so quickly. That's good service.,"@193675 Glad we could help! Thank you for reaching out to us, and enjoy your weekend!",2017-10-07 16:24:57+00:00,2017-10-07 16:27:23+00:00,support_parent,,,,
13,204700,204699,"@AskPlayStation Working now, thanks",@164472 Great to hear!,2017-10-04 17:42:35+00:00,2017-10-04 17:45:30+00:00,support_parent,,,,
14,1478975,1478976,@AskPlayStation Ok 👌🏻 thank you for your support I will get fifa usa 🇺🇸 and i will tray that,@463431 Anytime!,2017-11-03 19:17:44+00:00,2017-11-03 19:18:57+00:00,support_parent,,,,
15,336780,336778,@AskPlayStation I'm having trouble downloading battlefront 2 beta,@196346 Sure we can help! Have you tried using our Web Store? https://t.co/8Mcm5hhkja,2017-10-07 18:11:37+00:00,2017-10-07 21:40:02+00:00,support_parent,,,,
16,335463,335462,@AskPlayStation He recibido en mi correo personal unos términos de psn y yo no soy cliente vuestro creo que han usado mi correo,@195980 Lamentamos el inconveniente. Por favor siguenos en Twitter: @AskPlayStation para más instrucciones en mensaje directo.,2017-10-07 20:54:55+00:00,2017-10-07 20:57:51+00:00,support_parent,,,,
17,1600848,1600850,@AskPlayStation Entonces tengo que marcar la opción de reconstruir la base de datos?,"@213081 Hola Gonzalo! Y es correcto, por favor seleccione la option 5. Reconstruir la base de datos.",2017-11-05 20:14:27+00:00,2017-11-05 20:17:21+00:00,support_parent,,,,
18,603336,603335,@AskPlayStation Plastation I recently got hacked and someone stole my rocket league and I cant get it back Its not in my library and I dont want to pay for it again Please help my username is The_Only_Account and my email is __email__,@263330 Sorry to know that! Please follow us via Twitter and let us know so we can send you a DM with further instructions. Thanks!,2017-12-03 05:04:08+00:00,2017-12-03 22:28:20+00:00,support_parent,,,,
19,177435,177437,@AskPlayStation Mi cuenta usa yo vivo en ecuador,"@157778 Please follow us on Twitter and let us know once you do, so we can send you a DM.",2017-11-25 01:08:26+00:00,2017-11-25 01:14:34+00:00,support_parent,,,,
20,860414,860411,"@AskPlayStation hola lo que pasa es que obtuve un trofeo en un juego y no me lo contó, que puedo hacer para solucionarlo ?",@324296 Hola. Intenta deslogearte de tu cuenta y reinicia la sesion. Mantennos informados.,2017-10-13 04:00:54+00:00,2017-10-13 14:26:45+00:00,support_parent,,,,
21,191999,192001,@AskPlayStation Sorry my pc broken before I buy PS &gt;&lt; . This is when I try to log in with ps internet https://t.co/gi2JjBQeiz,@161106 Got it. We have sent you a Direct Message via Twitter with further instructions.,2017-10-05 14:20:30+00:00,2017-10-05 14:22:51+00:00,support_parent,,,,
22,1414663,1414660,"@AskPlayStation Every time I try to watch something there is a ""problem""",@448759 That's no good! Please send a DM with more information by clicking here:https://t.co/HjCfXyNLUN,2017-09-24 19:20:40+00:00,2017-09-24 19:27:41+00:00,support_parent,,,,
23,2054355,2054354,"@121984  Boa tarde, comprei um PS4 ontem, e não consigo logar na PSN, depois que coloco o login e os termos de privacidade da um erro?",@607579 Boa noite William! Lamentamos saber isso. aparece algum código de erro? qualquer informação adicional vai ser de utilidade.,2017-10-18 16:50:21+00:00,2017-10-18 23:47:15+00:00,support_parent,,,,
24,794751,794750,Someone in Brooklyn used my email to open an account. I'm not a PS player. Help! Thnxs @AskPlayStation,"@309488 Oh no, Please check your direct messages",2017-10-12 08:56:27+00:00,2017-10-12 14:11:26+00:00,support_parent,,,,
25,1822542,1822544,"@AskPlayStation This hasn't worked, its still coming up with an error while connecting.","@547124 Please try safe mode option 4 Restore Default Settings: 
https://t.co/OOaq76kzAA",2017-10-18 07:38:44+00:00,2017-10-18 13:14:37+00:00,support_parent,,,,
26,433399,433398,@AskPlayStation Ok. I was asking because that path you were interacting doesn’t exist…,@218077 Hey there! Please follow us and send a direct message for more detailed information on this issue.,2017-10-10 15:58:08+00:00,2017-10-10 16:02:20+00:00,support_parent,,,,
27,2243036,2243035,@205230 @AskPlayStation my points got erased from test season 1. What happen? Every time I see my points standing the game freezes and shows an error code. What's going on?,@212976 Hey Joseph. What's the error you are getting? Please provide us more details,2017-11-10 22:32:15+00:00,2017-11-10 22:35:48+00:00,support_parent,,,,
28,2748633,2748632,"@AskPlayStation my buddy sent me this photo saying my name is changed, so I tried to log in and the website says my E-mail isn’t valid. Help plz! : ( https://t.co/2cQrcNtOTu",@769601 Sorry to know that. Please follow us via Twitter so we can send you a DM with further instructions. Thanks!,2017-11-20 22:23:53+00:00,2017-11-20 22:50:04+00:00,support_parent,,,,
29,1016564,1016562,@AskPlayStation  Hi guys this is going to sound really sad but I mainly bought WWII for the exclusive theme. Where is it? I haven't got it:(,@185265 Glad to assist you. Please try to download the content from your download list on our Web Store: https://t.co/TmjD6u1crB,2017-10-14 11:45:36+00:00,2017-10-14 15:27:17+00:00,support_parent,,,,
30,332223,332222,@AskPlayStation having problems with my son’s PS4 the disc drive won’t work,@195102 Sorry to hear that. Is the console ejecting the disc or is it not reading it. Provide us more details to assist you better.,2017-10-05 08:31:51+00:00,2017-10-06 14:13:20+00:00,support_parent,,,,
31,900063,900062,"@AskPlayStation wireless connection. i try and access it through PlayStation store but it says ""not available for purchase""",@333673  Please try rebuilding the database. Follow the steps on the next article: https://t.co/OOaq76kzAA and try again.,2017-10-21 04:20:11+00:00,2017-10-21 04:23:01+00:00,support_parent,,,,
32,2465477,2465476,@116216 HOLA NECESITO AYUDA COMO ME CONTACTO CON USTEDES POR ACAA,"@705545 Hola Tomas. ¿Estas recibiendo algún código de error? 
Por favor brindanos más detalles acerca del problema.",2017-10-29 18:29:25+00:00,2017-10-29 19:37:56+00:00,support_parent,,,,
33,1253149,1253151,@AskPlayStation What if it keeps saying your card is invalid even though it's not. Do I just wait?,@413965 Try making the purchase via PC: https://t.co/qiQQSTNCQc Keep us posted!,2017-10-26 12:32:19+00:00,2017-10-26 13:26:59+00:00,support_parent,,,,
34,47392,47391,@AskPlayStation please help me i pre ordered NFS PAYBACK STANDARD EDITION AND I NEED NOW UPGRADE TO DELUXE EDITION i need refund 🙏🏻,"@126574 Hi There! For refund info, please check the following link: https://t.co/MInrgZSl48",2017-11-01 16:43:56+00:00,2017-11-01 16:46:51+00:00,support_parent,,,,
35,1121031,1121033,"@AskPlayStation Hi there, thank you very much. I'm following your account right now!",@384458 Please check your DM's for more instructions.,2017-10-24 14:02:03+00:00,2017-10-24 14:05:02+00:00,support_parent,,,,
36,2682549,2682551,@AskPlayStation It isn’t my internet my friends are getting it aswell,@754605 Please try delete the app for the game and download it again.,2017-10-31 16:28:40+00:00,2017-10-31 16:36:55+00:00,support_parent,,,,
37,2980295,2980294,@821974 @AskPlayStation How do you fix this I’m having same thing works off phone,@821973 Can you please provide us with more details about the specific issue that you're having?,2017-11-30 04:05:12+00:00,2017-11-30 04:17:48+00:00,support_parent,,,,
38,2368878,2368876,@AskPlayStation Why can't my family members not use the games we already own! When they were a subaccount they could,@683663 Glad to answer! Make sure that the account where you bought the games is active as primary on your console.,2017-11-12 20:14:52+00:00,2017-11-13 23:29:43+00:00,support_parent,,,,
39,42050,42049,"@121984 Por que não consigo cadastrar meu cartão de crédito? Já comprei com ele na minha psn, e agora dar erro!",@125277 Oi Wagner! No link vai encontrar como solucionar problemas ao adicionar o cartão de credito: https://t.co/4ptdjlrpu3,2017-10-31 21:58:27+00:00,2017-11-01 15:40:06+00:00,support_parent,,,,
40,1704495,1704494,@AskPlayStation I need help with Sony rewards issues,@516653 Here to help! We have sent you a Direct Message via Twitter with further instructions.,2017-11-06 19:25:35+00:00,2017-11-06 22:00:15+00:00,support_parent,,,,
41,2587432,2587430,"@AskPlayStation
This was never an issue before. Why can't I use my secondary account anymore? https://t.co/7fuoxv1cEd","@733115 Sure we can help. Please follow us on Twitter and let us know once you do, so we can send you a DM.",2017-11-17 00:16:36+00:00,2017-11-17 01:21:59+00:00,support_parent,,,,
42,411228,411230,@AskPlayStation yes multiple TVs and multiple hdmi cords,"@213085  Press and hold the power button until you hear 2 beeps. You will see the Safe Mode menu then, select Option 2.",2017-10-10 20:45:34+00:00,2017-10-10 20:48:58+00:00,support_parent,,,,
43,251790,251788,@AskPlayStation this was my last hope but its not working either https://t.co/smEeI3Ddd6,@173848 Happy to help! Please check your Direct messages!,2017-10-05 17:18:30+00:00,2017-10-05 17:24:40+00:00,support_parent,,,,
44,364975,364974,@AskPlayStation I will direct message so then I can provide more detail?..,@202456 No problem!,2017-10-08 19:33:24+00:00,2017-10-08 19:37:59+00:00,support_parent,,,,
45,2677609,2677608,@AskPlayStation is Crash Team Racing playable on PS4 via store or is it just PS3?,@737908 Here to help! This game is only available on PS3 and PSP: https://t.co/baVdR9h9np,2017-10-31 09:47:07+00:00,2017-10-31 14:21:20+00:00,support_parent,,,,
46,2640252,2640249,@125838 @askplaystation BAN THIS CLUB MY NIECE COULD READ THE SWEARING AND RAPE WORDS. @117014 https://t.co/O7kWxThM6d,@745112 Hi Arnold. Help us reporting it: https://t.co/vT0D2O1hPF  We take these behaviors seriously and will investigate further.,2017-11-17 21:13:15+00:00,2017-11-17 21:16:54+00:00,support_parent,,,,
47,1413903,1413902,"@116216 El día de hoy, sin ninguna razón, el sistema me pidió cambiar la contraseña de mi cuenta. Lo intenté pero no recuerdo la respuesta a mi pregunta de seguridad. ¿Qué debo hacer en este caso? No puedo acceder con mi password anterior.",@448593 Hola. Por favor siguenos en Twitter asi podremos brindarte una mejor asistencia via Mensajes Directos.,2017-10-28 17:16:59+00:00,2017-10-28 19:55:12+00:00,support_parent,,,,
48,2843253,2843252,@AskPlayStation Im looking to change the number I've linked for the 2-step verification. I'm currently locked out of my account and wondering how I can reactivate?  Thanks,@791007 Hi Paul. Please check your DMs for further instructions.,2017-11-26 14:10:48+00:00,2017-11-27 17:08:59+00:00,support_parent,,,,
49,859328,859325,@askplaystation My DVR recordings are being replaced with VOD on the channel FX.  why?,"@165738 We'd be happy to look into that for you!
What device are you currently using to stream PlayStation Vue?",2017-10-20 16:44:12+00:00,2017-10-20 16:48:30+00:00,support_parent,,,,
50,710744,710743,@AskPlayStation PS4 to be exact,"@289962 Here to help! Are you doing the system update using a USB or Internet connection? 
Are you getting any error code or message?",2017-10-10 21:18:09+00:00,2017-10-10 21:20:21+00:00,support_parent,,,,
51,1447750,1447748,"@AskPlayStation I'm having problems with my WWE 2k18 season pass, it did not make all Superstars playable. The nxt Kickstart worked, don't know what to do",@455961 Sorry to hear that Restore Licenses to refresh your privileges and try again: https://t.co/WATnmgS37Z,2017-11-02 14:08:29+00:00,2017-11-02 16:20:22+00:00,support_parent,,,,
52,311398,311397,@AskPlayStation https://t.co/C4OwqdNFsJ,@190368 Hi Jorge. Sorry to hear that. Do you see an error message or an error code? Please provide us more details.,2017-10-06 19:40:20+00:00,2017-10-07 02:59:29+00:00,support_parent,,,,
53,1549897,1549899,"@AskPlayStation It says card info not valid, but it's the same card I've been using. The when I go to chat, it says I don't have an account.","@479713 For billing issues, please follow the steps in the next link: https://t.co/7atHEqJw8n",2017-11-04 02:59:19+00:00,2017-11-04 03:05:33+00:00,support_parent,,,,
54,953645,953644,@AskPlayStation i forgot my birth of date and i want to change my password. Can you help me?,@346273 Totally understand. We have sent you a DM with more details,2017-10-21 09:21:28+00:00,2017-10-21 20:56:06+00:00,support_parent,,,,
55,2587983,2587982,A minha senha da psn foi atualizada sem eu ter solicitado! O que eu faço?  @121984,"@733237 Lamentamos o inconveniente, siga o nosso Twitter e envie uma mensagem para nós, assim conseguir enviar futuras instruções.",2017-10-30 18:05:32+00:00,2017-10-30 18:19:57+00:00,support_parent,,,,
56,2866748,2866747,@AskPlayStation @117014 could you help me my account has 2-step on and I reset my PS4 and my SIM card isn’t working properly so I’m locked out of my account please help,@796205 Happy to help! Please check your DM's for more instructions.,2017-11-26 21:16:45+00:00,2017-11-28 00:53:52+00:00,support_parent,,,,
57,2645860,2645844,@AskPlayStation is there something wrong with psn? I can’t see my friends list. And can’t access destiny 2 servers.,@746486  Hi Justin. Please power cycle your network devices and try again: https://t.co/UUMNDRIFMj,2017-11-17 22:17:26+00:00,2017-11-17 22:22:56+00:00,support_parent,,,,
58,2305809,2437980,@AskPlayStation I did the 2 step verification step and the code did not reach me. Can you solve the problem or give me the code?,@699330 Hello there. Please check your DM's for more instructions.,2017-10-29 12:34:20+00:00,2017-10-29 15:58:37+00:00,support_parent,,,,
59,90789,2926063,@AskPlayStation I put 3 codes voucher its said wrong i buy it from electronic first web sit they tell me contact with u when i go to support put id its said wrong id i am sure that’s correct,"@809596 Hi Ahmed! For assistance please follow us and send us a Direct Message, we look forward to your reply.",2017-11-29 02:39:06+00:00,2017-11-29 03:16:06+00:00,support_parent,,,,
60,1447747,1447745,@AskPlayStation i share my account with a friend and vice versa. But it keeps telling me to make my PS4 primary.,@455960 Hi. Game Sharing is against the Terms of Use and may result in a ban. More info here: https://t.co/QCB6z0FqEh,2017-11-02 14:10:29+00:00,2017-11-02 16:22:25+00:00,support_parent,,,,
61,642239,642238,"@149601 @AskPlayStation @146132 Hi, my account is now banned for one month, could you DM me and expose me the reasons please ? I Don't find... 
Thanks",@272429 Sorry to hear that! We have sent you a Direct Message via Twitter with further instructions.,2017-11-22 19:04:44+00:00,2017-11-22 20:57:29+00:00,support_parent,,,,
62,527000,527002,@AskPlayStation Hi i have still same problem i have tried everything and same result. One weekend my friend was at my house and he got hes ps4 and i't worked just fine. I don't just get i't why i don't can't connect to psn on my ps4?,@241971 Hello Jesse! Are you getting any error code or message? Please provide us more details about the issue,2017-12-02 22:42:30+00:00,2017-12-02 22:53:30+00:00,support_parent,,,,
63,2697678,2697676,"@AskPlayStation Hi, I have preordered orizon Zero Dawn: Frozen Wilds a while ago as Plus member, and now that it is finally live it fails to install and wants me to buy the original game from PS store, even if i have original disc! Please fix this or refund!",@757994 Hi there. Please follow the steps in the next link to restore licenses and check again: https://t.co/WATnmgS37Z,2017-11-19 18:54:47+00:00,2017-11-19 19:04:12+00:00,support_parent,,,,
64,1570036,1570033,@AskPlayStation It said your purchase may not be complete check your transaction history in your account settings.,@484216 Try making the purchase via PC: https://t.co/qiQQSTNCQc Keep us posted!,2017-11-04 16:53:20+00:00,2017-11-04 16:55:08+00:00,support_parent,,,,
65,1149282,1149280,@116216 Tengo un problema! Me pueden ayudar Por favor!,@390446 Hola Adrian! ¿Como le podemos ayudar el dia de ahora?,2017-10-24 08:21:12+00:00,2017-10-24 14:33:21+00:00,support_parent,,,,
66,354137,354139,@AskPlayStation Ps4 the normal one,@200201 Please try rebuilding the database. Follow the steps on the next article: https://t.co/OOaq76kzAA,2017-10-08 14:30:21+00:00,2017-10-08 14:34:41+00:00,support_parent,,,,
67,812834,812833,"@AskPlayStation Hey, I am trying to change my PSN password but apparently my DOB is wrong. Is there any way I can get into my account?",@313680 No worries! Please follow us via Twitter and let us know so we can send you a DM with further instructions. Thanks!,2017-10-12 19:41:49+00:00,2017-10-12 19:47:13+00:00,support_parent,,,,
68,1049732,1049731,@116216 Hola me podrían ayudar no me se la contraseña de mi cuenta y me pide la fecha pero es que ya no me acuerdo,"@368099 ¡Hola! Por favor revisa tus Mensajes Directos, para más información.",2017-11-24 20:32:23+00:00,2017-11-25 17:41:15+00:00,support_parent,,,,
69,2950431,2950430,"@AskPlayStation hi, trying to install gt sport disc, and getting the error CE-35694-7 and the disc disappears. Can you give some advice please",@814781 Hi there! Please make sure that you have at least double the amount of space available on the console than the size of the game.,2017-11-28 11:22:40+00:00,2017-11-29 16:54:46+00:00,support_parent,,,,
70,1784021,1784020,@116216 hola ! Como hago válida la promoción activa de Fifa 18 + plus ??!!,"@536028 Hola Piper, Podrias decirnos donde estas ubicado. La region de tu cuenta a que pais pertenece?",2017-10-28 03:27:14+00:00,2017-10-29 04:09:40+00:00,support_parent,,,,
71,1540313,1540312,@AskPlayStation Do you offer replacements for the ps gold headset usb connectors,@477390 Hello Harrison. Let's look into that. Please check your DM's for further instructions.,2017-11-03 23:28:44+00:00,2017-11-04 02:05:48+00:00,support_parent,,,,
72,376425,376423,@AskPlayStation you have taken payment for for psn subscription but it still says renew on my console. Can this be looked into. Thanks.,@205292 That's odd!! Have you tried restoring licenses on your PS4? Here's a link to show you how: https://t.co/1qXlhrR5am,2017-10-08 08:25:16+00:00,2017-10-09 02:58:21+00:00,support_parent,,,,
73,649355,649353,@AskPlayStation Been trying to preorder the Digital Guardian Edition for PS4 on the PSN via the PS App and Desktop site. Errors. Advice?,"@274350 Check to make sure any credit card information is current: http://t.co/6HetTMzhiR If it persists, test PSN card funding.",2014-07-12 19:15:17+00:00,2014-07-14 17:27:18+00:00,support_parent,,,,
74,763841,763842,@AskPlayStation thank you as well,"@302540 You are welcome, anytime!",2017-10-11 22:02:58+00:00,2017-10-11 22:05:00+00:00,support_parent,,,,
75,1426269,1426267,"@AskPlayStation I'm missing my Pre-Order Bonus for Monsters of the Deep: Final Fantasy XV. Restore Licenses didn't work, how can I get my Samurai Costume? Thanks!",@451345 Happy to help! Please try Restore Licenses to refresh your purchases: https://t.co/WATnmgS37Z then look inside the game.,2017-11-25 00:41:10+00:00,2017-11-26 00:58:05+00:00,support_parent,,,,
76,1511727,1511728,@AskPlayStation Okay that’s great will try when I’m home thanks for the help will keep u informed,"@470877 Sounds good, keep us posted!",2017-11-03 20:17:58+00:00,2017-11-03 20:19:15+00:00,support_parent,,,,
77,192208,273736,@AskPlayStation @117014 The master account could not add my account and i cant sign in to my account and the master account did accept the terms and sevices,"@181406 Hello Sebastian. Let's look into that. Please make sure you are following us, so we can assist you better via a Direct Message.",2017-10-05 03:47:57+00:00,2017-10-06 04:50:47+00:00,support_parent,,,,
78,1443915,1443917,@AskPlayStation No messages but i don’t play on it that much. I just started playing more and it sounds really loud. any solution to this?,@455049 Thank you for the info. Please try rebuilding the database. Follow the steps on the next article: https://t.co/OOaq76kzAA,2017-11-02 23:47:05+00:00,2017-11-02 23:50:16+00:00,support_parent,,,,
79,1605363,1605362,@AskPlayStation I'm having issues hearing game audio in my stealth 600. Mic works fine. Works on other games with no issues.,@492459 Hello Mike. Please share the details of this issue in our Community forum for further investigation: https://t.co/F3J4l2vJHb,2017-11-04 21:05:35+00:00,2017-11-05 02:05:47+00:00,support_parent,,,,
80,1924916,1924915,@AskPlayStation I get error codes from the games I play but not from the PlayStation I can login but can’t play certain games,"@572946 What are the errors you are getting? 
Please provide us more details",2017-10-31 20:00:06+00:00,2017-10-31 20:03:54+00:00,support_parent,,,,
81,2703442,2703441,@AskPlayStation @AskPlayStation hello I just bought a brand new 2TB external hard drive and my PlayStation will not format the drive as extended storage. It is already exFAT. It keeps popping up with error code ce-41902-6. Thank you,@759320 Sorry to hear that! Check out the next article for more info regarding HDD: https://t.co/77rEBf2Jpk,2017-11-19 16:50:48+00:00,2017-11-19 21:48:34+00:00,support_parent,,,,
82,459615,459614,@AskPlayStation I’m trying to add funds as a family manager (was able to add $60 yesterday) yet getting an error saying it can’t be done. No reason. This has been going on in the past 24 hours. Help!,"@224192 Hello Tomer. Sorry to hear that. We'd be happy to help. For billing issues, please follow the steps in the next link: https://t.co/7atHEqJw8n",2017-11-30 01:39:10+00:00,2017-12-01 01:06:42+00:00,support_parent,,,,
83,58518,58517,@116216 hola buenas tardes quiero ingresar pero me indica que tengo restablecer la contraseña pero no me llega ningún correo,@129300 ¡Un gusto ayudarte! Por favor revisa en la carpeta de correo no deseado.,2017-11-01 18:26:04+00:00,2017-11-01 20:26:39+00:00,support_parent,,,,
84,2200168,2200166,@AskPlayStation I don’t have any devices activated to deactivate them!!! https://t.co/H9jXaZmaaH,@643470 Please start your console in safe mode and choose option 5 Rebuild Database: https://t.co/OOaq76kzAA,2017-11-09 22:25:17+00:00,2017-11-09 22:27:48+00:00,support_parent,,,,
85,911351,911349,@AskPlayStation so where’s my help ? Been waiting a week 😐,@336458 Sorry for the delay. Please provide us more details of the issue that you are having.,2017-10-21 06:46:56+00:00,2017-10-21 06:50:11+00:00,support_parent,,,,
86,1750059,1750060,@AskPlayStation I have read both us and eu forums and there are numerous complaints about this with ppl complaing that sony does care what users want so thought i would pass this on to make sure they were aware of an issue upsetting their fan base,@527423 Please share the details of this issue in our Community forum for further investigation: https://t.co/2qiJDUTeYk,2017-11-07 18:31:38+00:00,2017-11-07 18:46:04+00:00,support_parent,,,,
87,204698,204697,"I enter my code for the Battlefront 2 beta and all it tells me is ""Thanks for redeeming your code"". Can you help? @AskPlayStation",@164471 Oh no! Please follow us and send us a direct message so that we can assist you further.,2017-10-04 07:47:21+00:00,2017-10-04 17:52:07+00:00,support_parent,,,,
88,1185448,1185450,"@AskPlayStation Thank you, got my game back 😁",@398749 You are welcome. Happy gaming,2017-10-24 23:43:28+00:00,2017-10-24 23:47:08+00:00,support_parent,,,,
89,707117,707116,"@AskPlayStation Getting error code ce-41839-5 when I try to play Overwatch from a disk.
I just installed the latest game update. Help?","@289049 Sorry to hear that. For further investigation please discuss this in our Community forums, here: https://t.co/F3J4l2vJHb",2017-10-10 19:23:20+00:00,2017-10-10 19:40:10+00:00,support_parent,,,,
90,1253162,1253161,@AskPlayStation my friend is trying to update Friday The 13th The Game and this keeps popping up. Any suggestions? https://t.co/EMBy5AOMNI,@188789 Please power cycle your network devices and try again: https://t.co/UUMNDRIFMj,2017-10-26 03:02:03+00:00,2017-10-26 05:58:44+00:00,support_parent,,,,
91,1532423,1532422,@AskPlayStation  buenas tardes tengo un error en mi consola de play 3 me sale este error (8002F281)en puede informar que puedo hacer gracias,@475325 Hola Jonas. Te hemos enviado un nuevo Mensaje Directo con mas instrucciones.,2017-10-15 18:27:50+00:00,2017-10-17 01:39:44+00:00,support_parent,,,,
92,1775240,1775238,@AskPlayStation can you help me please. I have a game update that gets to a certain point and then restarts 😔 downloading for 2 days now,"@245419 Hello there! Is the issue happening with more games?
Is this a physical or a digital copy?",2017-11-07 21:36:20+00:00,2017-11-07 23:32:08+00:00,support_parent,,,,
93,1196071,1196073,@AskPlayStation I have already tried that. It’s still making the noise,"@401037 Is the console overheating?
Turn it off and disconnect all the cables for 3 minutes, then move it to a ventilated place",2017-10-25 02:27:45+00:00,2017-10-25 02:31:18+00:00,support_parent,,,,
94,1157153,1157152,@AskPlayStation The awnsers don't help me. I somehow want to disable/cancel the playstion plus. Thank you.,@362593 We have sent you a Direct Message via Twitter with further instructions.,2017-10-24 14:05:58+00:00,2017-10-24 16:06:20+00:00,support_parent,,,,
95,702647,702645,"@AskPlayStation Is NBA Live The One that is 50% off right now, is that the FULL game?  Every game mode and every feature it is it just part of the actual game?  Thank you.",@287810 Hi there! The game is full game. You can check the product description here: https://t.co/mM91FCXA5e,2017-11-23 14:56:27+00:00,2017-11-23 17:43:50+00:00,support_parent,,,,
96,293970,293968,"@AskPlayStation web site says nothing wrong with PlayStation services, so why can’t I log onto the website via tablet or network via ps3","@186045 That's not good. Are you getting any error code or message? 
Please provide us more details about the issue",2017-10-06 17:18:38+00:00,2017-10-06 17:22:58+00:00,support_parent,,,,
97,1222287,1222286,@121984 oi eu queria saber porque eu entrei hoje no meu ps4 e minha conta estava banida queria saber se posso recuperar minha conta?,@406807 Boa tarde Gabriel! No seguinte link vai encontrar informações sobre contas e consoles banidos: https://t.co/qJuGmIHP9H,2017-10-25 02:45:03+00:00,2017-10-25 15:35:50+00:00,support_parent,,,,
98,2875392,2875391,"@AskPlayStation Additionally , I bought WW2 on this account for some reason.","@798251 Hello Jean! For assistance please follow us and send us a Direct Message, we look forward to your reply.",2017-11-26 22:33:53+00:00,2017-11-28 05:11:14+00:00,support_parent,,,,
99,2900522,2900520,@AskPlayStation Please help me on Downloaded game is locked and now it show can’t connect to server for 4 DAYS now. My PSN is MikeZulu725,@803481 Sorry to hear that. Restore Licenses to refresh your privileges and try again: https://t.co/WATnmgS37Z,2017-11-27 15:55:53+00:00,2017-11-28 17:29:25+00:00,support_parent,,,,
100,2961507,2961505,"@AskPlayStation Hi, my card is suddenly not working to buy anything, and it is not a problem on my end. Could this be fixed?",@817272 Let's check it out! What console are you using? What error message or error code do you receive?,2017-11-29 20:24:31+00:00,2017-11-29 20:29:02+00:00,support_parent,,,,
101,2099329,2099328,@AskPlayStation Already tried that a couple times,@620078 Please start your system in safe mode and select restore default settings. Steps here: https://t.co/NiCy6xiXKC,2017-11-08 07:38:11+00:00,2017-11-08 07:41:21+00:00,support_parent,,,,
102,2180746,2180745,@AskPlayStation hey I believe my account has been stolen the sign in I'd was changed and I didn't do it so now I can't get on,"@639006 Hello Nick! For assistance please follow us and send us a Direct Message, we look forward to your reply.",2017-10-29 04:44:07+00:00,2017-10-29 04:45:42+00:00,support_parent,,,,
